施設種別,建物名,住所,想定収容人数,MHトイレ基数,lng,lat
指定避難所兼指定緊急避難場所,特別養護老人ホーム ヴィラ・サザン,宮崎市大字本郷北方2717-15,101,0,131.409411,31.874701
指定避難所兼指定緊急避難場所,山崎台センター,宮崎市大字本郷北方字乙戸3406-79,29,0,131.425164,31.868594
指定避難所兼指定緊急避難場所,宮崎市立本郷小学校,宮崎市大字本郷北方3926,451,0,131.4241,31.863432
指定避難所兼指定緊急避難場所,宮崎市立共同利用施設津和田センター,宮崎市大字本郷北方字大丸36-1,45,0,131.430639,31.873182
指定避難所兼指定緊急避難場所,城ノ下・池田自治公民館,宮崎市大字本郷北方字池田4485-12,46,0,131.431252,31.869666
指定避難所兼指定緊急避難場所,宮崎市赤江老人福祉センター,宮崎市大字本郷南方2487-4,60,0,131.433426,31.854035
指定避難所兼指定緊急避難場所,宮崎市本郷公民館,宮崎市大字本郷南方2793,290,0,131.431084,31.859378
指定避難所兼指定緊急避難場所,宮崎市立本郷中学校,宮崎市大字本郷南方5460,541,0,131.424279,31.862639
指定避難所兼指定緊急避難場所,宮崎県消防学校,宮崎市大字郡司分甲210,666,0,131.434721,31.849489
指定避難所兼指定緊急避難場所,宮崎第一中学高等学校,宮崎市大字郡司分甲767,1646,0,131.424144,31.849142
指定避難所兼指定緊急避難場所,宮崎市立国富小学校,宮崎市大字郡司分甲2226,339,0,131.433407,31.857383
指定避難所兼指定緊急避難場所,西山崎センター,宮崎市大字郡司分字中ノ迫丙9568-1,34,0,131.417974,31.866485
指定避難所兼指定緊急避難場所,宮崎県立看護大学,宮崎市まなび野3-5-1,574,0,131.414743,31.859307
指定避難所兼指定緊急避難場所,希望ヶ丘自治公民館,宮崎市希望ヶ丘3-11-5,50,0,131.42422,31.857973
指定避難所兼指定緊急避難場所,宮崎市木花公民館,宮崎市大字熊野591,280,0,131.436421,31.829098
指定避難所兼指定緊急避難場所,宮崎市立木花小学校,宮崎市大字熊野10956,257,0,131.43454,31.832189
指定避難所兼指定緊急避難場所,宮崎市自然休養村センター,宮崎市大字加江田6896,28,0,131.448714,31.805368
指定避難所兼指定緊急避難場所,宮崎大学,宮崎市学園木花台西1-1,1397,0,131.412556,31.831003
指定避難所兼指定緊急避難場所,宮崎市立木花中学校,宮崎市学園木花台南1-1,528,6,131.42696,31.831124
指定避難所兼指定緊急避難場所,宮崎市立学園木花台小学校,宮崎市学園木花台南2-13,496,0,131.423714,31.825805
指定避難所兼指定緊急避難場所,宮崎県総合運動公園,宮崎市大字熊野2206-1,1160,0,131.448072,31.824936
指定避難所兼指定緊急避難場所,宮崎県青島青少年自然の家,宮崎市大字熊野字藤兵衛中洲,498,0,131.449613,31.819646
指定避難所兼指定緊急避難場所,宮崎市青島浄化センター２階,宮崎市青島西2-15-1,50,0,131.466719,31.798828
指定避難所兼指定緊急避難場所,宮崎市立青島中学校,宮崎市大字折生迫4828,442,5,131.469174,31.786516
指定避難所兼指定緊急避難場所,宮崎市立内海小学校,宮崎市大字内海1024,241,0,131.472144,31.759753
指定避難所兼指定緊急避難場所,青水自治公民館,宮崎市芳士字金田田286-2,100,0,131.434324,31.965865
指定避難所兼指定緊急避難場所,宮崎市立住吉南小学校,宮崎市大字芳士1811,482,0,131.44737,31.965953
指定避難所兼指定緊急避難場所,宮崎県立宮崎北高等学校,宮崎市大字新名爪4567,654,0,131.434942,31.97045
指定避難所兼指定緊急避難場所,宮崎県立明星視覚支援学校,宮崎市大字島之内1390,300,0,131.459376,31.997376
指定避難所兼指定緊急避難場所,宮崎市立住吉小学校,宮崎市大字島之内5383,455,0,131.440603,31.984748
指定避難所兼指定緊急避難場所,宮崎日本大学中学校・高等学校,宮崎市大字島之内6822-2,2185,0,131.446432,31.984176
指定避難所兼指定緊急避難場所,宮崎市住吉公民館,宮崎市宮崎市島之内7410-1,270,0,131.450343,31.982207
指定避難所兼指定緊急避難場所,宮崎市立住吉中学校,宮崎市大字島之内7608,665,7,131.450604,31.9892
指定避難所兼指定緊急避難場所,宮崎市住吉児童センター,宮崎市大字島之内7082-2,90,0,131.451266,31.988302
指定避難所兼指定緊急避難場所,日章学園高等学校,宮崎市大字広原836,1077,0,131.440667,32.002067
指定避難所兼指定緊急避難場所,宮崎市広原体育館,宮崎市大字広原1085-1,418,0,131.436774,32.000256
指定避難所兼指定緊急避難場所,北部営農研修センター,宮崎市大字塩路1341-3,115,0,131.469709,31.982228
指定避難所兼指定緊急避難場所,四本松営農研修センター,宮崎市大字島之内10107-67,70,0,131.46333,31.986189
指定避難所兼指定緊急避難場所,宮崎市立生目南中学校,宮崎市大字浮田662,667,0,131.374819,31.923114
指定避難所兼指定緊急避難場所,宮崎市生目南公民館,宮崎市浮田662-14,290,0,131.375778,31.922674
指定避難所兼指定緊急避難場所,宮崎市立生目小学校,宮崎市大字浮田2920,339,0,131.371689,31.93199
指定避難所兼指定緊急避難場所,宮崎市生目公民館,宮崎市宮崎市大字浮田3000,310,0,131.376227,31.929713
指定避難所兼指定緊急避難場所,有田ふれあい館,宮崎市大字有田1981,100,0,131.372044,31.95073
指定避難所兼指定緊急避難場所,跡江自治公民館,宮崎市大字跡江2203,185,0,131.39119,31.945064
指定避難所兼指定緊急避難場所,宮崎市立生目中学校,宮崎市大字跡江3131,607,7,131.38142,31.930541
指定避難所兼指定緊急避難場所,宮崎市生目の杜運動公園,宮崎市大字跡江4461-1,3481,0,131.373768,31.943524
指定避難所兼指定緊急避難場所,上野自治公民館,宮崎市大字瓜生野2570,148,0,131.387378,31.969217
指定避難所兼指定緊急避難場所,宮崎市立瓜生野小学校,宮崎市大字瓜生野2589,257,0,131.387606,31.970373
指定避難所兼指定緊急避難場所,宮崎市西部地区農村環境改善センター,宮崎市宮崎市大字瓜生野3909,380,0,131.382997,31.962675
指定避難所兼指定緊急避難場所,大淀川学習館,宮崎市下北方町5348-1,186,0,131.406484,31.948791
指定避難所兼指定緊急避難場所,宮崎市立宮崎北中学校,宮崎市大字大瀬町247,610,7,131.37774,31.962057
指定避難所兼指定緊急避難場所,柿木原自治公民館,宮崎市大瀬町馬場ヶ迫2056-5,200,0,131.376765,31.978729
指定避難所兼指定緊急避難場所,平松自治公民館,宮崎市大字大瀬町ヤゴロ迫5453-2,150,0,131.387813,31.977865
指定避難所兼指定緊急避難場所,宮崎市立倉岡小学校,宮崎市大字糸原538,257,0,131.367362,31.962068
指定避難所兼指定緊急避難場所,糸原自治公民館,宮崎市大字糸原2552-1,200,0,131.360974,31.955786
指定避難所兼指定緊急避難場所,金崎コミュニティーセンター,宮崎市大字金崎582,200,0,131.356525,31.96893
指定避難所兼指定緊急避難場所,佐土原保健センター,宮崎市佐土原町下田島20660,69,0,131.474062,32.023703
指定避難所兼指定緊急避難場所,宮崎市立久峰中学校,宮崎市佐土原町下田島21341,500,0,131.468739,32.022493
指定避難所兼指定緊急避難場所,宮崎市佐土原総合文化センター,宮崎市佐土原町下田島20527-4,450,0,131.474181,32.023047
指定避難所兼指定緊急避難場所,宮崎市佐土原体育館,宮崎市佐土原町下田島20688-74,1202,13,131.47307,32.025312
指定避難所兼指定緊急避難場所,宮崎市佐土原武道館,宮崎市佐土原町下那珂12900-2,316,0,131.461809,32.020191
指定避難所兼指定緊急避難場所,宮崎市立広瀬西小学校,宮崎市佐土原町下那珂13384,480,0,131.456128,32.014408
指定避難所兼指定緊急避難場所,宮崎市立広瀬小学校,宮崎市佐土原町下田島20308-10,567,0,131.473303,32.016167
指定避難所兼指定緊急避難場所,宮崎市立広瀬中学校,宮崎市佐土原町下田島20305-12,616,7,131.474876,32.017395
指定避難所兼指定緊急避難場所,宮崎県立佐土原高等学校,宮崎市佐土原町下田島21567,872,0,131.46655,32.023143
指定避難所兼指定緊急避難場所,宮崎市立佐土原小学校,宮崎市佐土原町上田島1350-9,663,0,131.428881,32.048859
指定避難所兼指定緊急避難場所,宮崎市立佐土原中学校,宮崎市佐土原町上田島8476,523,0,131.422007,32.043401
指定避難所兼指定緊急避難場所,宮崎市佐土原西体育館,宮崎市佐土原町上田島8387-2,412,0,131.4243,32.042594
指定避難所兼指定緊急避難場所,那珂地区公民館,宮崎市佐土原町東上那珂14502,178,0,131.425823,32.027492
指定避難所兼指定緊急避難場所,黒田地区学習等供用施設,宮崎市佐土原町下那珂7982,32,0,131.444943,32.014015
指定避難所兼指定緊急避難場所,宮崎市立田野小学校,宮崎市田野町甲2856,345,4,131.30177,31.837328
指定避難所兼指定緊急避難場所,宮崎市田野西地区公民館,宮崎市田野町乙3533-1,55,0,131.277353,31.831113
指定避難所兼指定緊急避難場所,宮崎市立七野小学校,宮崎市田野町乙3521-2,201,0,131.27698,31.831193
指定避難所兼指定緊急避難場所,宮崎市立田野中学校,宮崎市田野町甲2826-3,636,0,131.300385,31.835905
指定避難所兼指定緊急避難場所,宮崎市田野体育館,宮崎市田野町乙10905-26,646,0,131.306569,31.845637
指定避難所兼指定緊急避難場所,宮崎市田野文化会館,宮崎市田野町甲2818,285,0,131.301208,31.839487
指定避難所兼指定緊急避難場所,共に学ぶ森管理棟,宮崎市高岡町紙屋9-1,30,0,131.206865,31.991758
指定避難所兼指定緊急避難場所,旧去川小学校,宮崎市高岡町内山3615-1,481,0,131.228389,31.915862
指定避難所兼指定緊急避難場所,宮崎市内山農村研修センター,宮崎市高岡町内山1072,172,0,131.277753,31.966095
指定避難所兼指定緊急避難場所,宮崎市立高岡小学校,宮崎市高岡町内山2900,436,0,131.297319,31.957704
指定避難所兼指定緊急避難場所,宮崎市高岡練士館道場,宮崎市高岡町内山2902,163,0,131.296799,31.957192
指定避難所兼指定緊急避難場所,宮崎市高岡地区農村環境改善センター,宮崎市高岡町内山2880-1,500,0,131.297911,31.956869
指定避難所兼指定緊急避難場所,宮崎市高岡総合支所庁舎,宮崎市高岡町内山2887,31,6,131.297154,31.956804
指定避難所兼指定緊急避難場所,宮崎市立高岡中学校,宮崎市高岡町内山2700,242,6,131.299975,31.962233
指定避難所兼指定緊急避難場所,宮崎市高岡福祉保健センター「穆園館」,宮崎市高岡町内山2877,229,0,131.29873,31.957544
指定避難所兼指定緊急避難場所,宮崎市天ヶ城公園体育館,宮崎市高岡町内山2007,836,0,131.290679,31.957956
指定避難所兼指定緊急避難場所,宮崎市東高岡体育館,宮崎市高岡町花見923,294,0,131.330632,31.944253
指定避難所兼指定緊急避難場所,宮崎市農業団地センター,宮崎市高岡町小山田69-2,303,0,131.329959,31.934208
指定避難所兼指定緊急避難場所,宮崎市穆佐小学校,宮崎市高岡町小山田87-1,321,0,131.32924,31.934154
指定避難所兼指定緊急避難場所,津屋原自治公民館,宮崎市恒久4-14-8,100,0,131.433813,31.894555
指定避難所兼指定緊急避難場所,宮崎市立清武小学校,宮崎市清武町今泉甲7023-1,541,0,131.38796,31.854527
指定避難所兼指定緊急避難場所,宮崎市立清武中学校,宮崎市清武町今泉甲6980,649,0,131.387687,31.853141
指定避難所兼指定緊急避難場所,宮崎市清武体育館,宮崎市清武町木原6652-2,1910,0,131.391339,31.854518
指定避難所兼指定緊急避難場所,JA南宮崎営農センター,宮崎市清武町加納字須木田885,200,0,131.40863,31.856754
指定避難所兼指定緊急避難場所,宮崎市立大久保小学校,宮崎市清武町今泉甲5645,507,0,131.362433,31.858177
指定避難所兼指定緊急避難場所,宮崎市清武地区交流センター,宮崎市清武町今泉甲2694-3,436,0,131.363943,31.85606
指定避難所兼指定緊急避難場所,宮崎市立加納小学校,宮崎市清武町加納甲1010,487,5,131.388735,31.869832
指定避難所兼指定緊急避難場所,宮崎市立加納中学校,宮崎市清武町加納乙1040,327,0,131.39648,31.878344
指定避難所兼指定緊急避難場所,宮崎市加納スポーツセンター,宮崎市清武町加納乙213-4,984,0,131.405838,31.880689
指定避難所兼指定緊急避難場所,宮崎市清武総合福祉センター,宮崎市清武町西新町8-6,88,0,131.389379,31.854042
指定避難所兼指定緊急避難場所,宮水流公民館,宮崎市高岡町下倉永577-1,54,0,131.341378,31.940243
指定避難所兼指定緊急避難場所,宮崎市立鏡洲小学校,宮崎市大字鏡洲2056,329,0,131.390115,31.821297
指定避難所兼指定緊急避難場所,宮崎市高岡交流プラザ,宮崎市高岡町浦之名4365-4,458,0,131.265314,31.951856
指定避難所兼指定緊急避難場所,宮崎市佐土原地区交流センター,宮崎市佐土原町上田島1389,388,0,131.427874,32.047096
指定緊急避難場所（地震発生時の一時避難場所）,江平小学校グラウンド,宮崎市橘通西5-6-37,3500,0,131.423424,31.92359
指定緊急避難場所（地震発生時の一時避難場所）,宮崎東中学校グラウンド,宮崎市江平東2-7-9,9293,0,131.428659,31.930696
指定緊急避難場所（地震発生時の一時避難場所）,下原街区公園,宮崎市下原町231-3,1100,0,131.433019,31.922167
指定緊急避難場所（地震発生時の一時避難場所）,日向学院グラウンド,宮崎市大和町110,11640,0,131.436646,31.917979
指定緊急避難場所（地震発生時の一時避難場所）,二葉街区公園,宮崎市清水1-114-1,2500,0,131.421888,31.91778
指定緊急避難場所（地震発生時の一時避難場所）,下原ふれあい広場,宮崎市下原町321,6400,0,131.431506,31.923354
指定緊急避難場所（地震発生時の一時避難場所）,祇園街区公園,宮崎市祗園4-7,2200,0,131.412318,31.938247
指定緊急避難場所（地震発生時の一時避難場所）,中鶴街区公園,宮崎市祗園3-22,6300,0,131.410861,31.933348
指定緊急避難場所（地震発生時の一時避難場所）,県総合文化公園,宮崎市船塚3,76035,0,131.418754,31.933932
指定緊急避難場所（地震発生時の一時避難場所）,霧島街区公園,宮崎市船塚1-81,7400,0,131.41654,31.927243
指定緊急避難場所（地震発生時の一時避難場所）,宮崎商業高校グラウンド,宮崎市和知川原3-24,20098,0,131.408237,31.923939
指定緊急避難場所（地震発生時の一時避難場所）,和知川原街区公園,宮崎市和知川原2-44,1000,0,131.412354,31.923252
指定緊急避難場所（地震発生時の一時避難場所）,宮大附属小学校グラウンド,宮崎市花殿町7-49,6969,0,131.416749,31.92483
指定緊急避難場所（地震発生時の一時避難場所）,宮大附属中学校グラウンド,宮崎市花殿町7-67,11999,0,131.417931,31.924879
指定緊急避難場所（地震発生時の一時避難場所）,西池小学校グラウンド,宮崎市西池町12-49,7489,0,131.419857,31.923271
指定緊急避難場所（地震発生時の一時避難場所）,宮崎西中学校グラウンド,宮崎市原町1-4,12377,0,131.422463,31.922605
指定緊急避難場所（地震発生時の一時避難場所）,宮崎公立大学グラウンド,宮崎市船塚1-1-2,37560,0,131.418349,31.926253
指定緊急避難場所（地震発生時の一時避難場所）,高千穂街区公園,宮崎市大橋1-103,700,0,131.414646,31.92022
指定緊急避難場所（地震発生時の一時避難場所）,小戸小学校グラウンド,宮崎市大工1-5-43,6180,0,131.414308,31.9174
指定緊急避難場所（地震発生時の一時避難場所）,平和が丘公園,宮崎市平和が丘西町20-6,11000,0,131.413561,31.957141
指定緊急避難場所（地震発生時の一時避難場所）,大宮小学校グラウンド,宮崎市下北方町新地849,9188,0,131.428599,31.943994
指定緊急避難場所（地震発生時の一時避難場所）,大宮中学校グラウンド,宮崎市下北方町5945,13058,0,131.419004,31.942242
指定緊急避難場所（地震発生時の一時避難場所）,矢の先街区公園,宮崎市神宮西2-252,1300,0,131.418551,31.939383
